Airport,DelayTime
Airport08,23
Airport03,45
Airport11,25
Airport12,4
Airport08,6
Airport14,50
Airport05,10
Airport08,11
Airport12,41.5
Airport03,10
Airport07,10
Airport08,63
Airport08,4
Airport03,15
Airport05,15
Airport03,20
Airport15,7
Airport08,30
Airport10,40
Airport05,15
Airport07,5
Airport10,17
Airport12,9
Airport08,20
Airport05,5
Airport05,10
Airport05,345
Airport08,12
Airport03,15
Airport08,5
Airport05,10
Airport05,30
Airport05,10
Airport16,20
Airport19,5
Airport12,5
Airport05,7
Airport08,18
Airport20,105
Airport16,35
Airport05,35
Airport05,25
Airport09,150
Airport08,41
Airport08,20
Airport05,30
Airport05,30
Airport05,50
Airport05,224
Airport05,5
Airport10,25
Airport05,58
Airport08,49
Airport08,49
Airport08,7
Airport05,167
Airport08,7
Airport17,10
Airport05,220
Airport10,7
Airport05,185
Airport04,31
Airport19,7
Airport08,28
Airport03,40
Airport08,5
Airport17,15
Airport07,7.5
Airport05,25
Airport03,10
Airport05,170
Airport03,15
Airport05,65
Airport05,35
Airport05,30
Airport08,311
Airport05,25
Airport05,60
Airport05,55
Airport05,12
Airport08,125
Airport05,60
Airport08,17
Airport08,45
Airport05,20
Airport08,11
Airport08,50
Airport08,180
Airport08,69
Airport05,50
Airport03,25
Airport05,30
Airport05,50
Airport05,45
Airport13,31
Airport04,7.5
Airport17,49
Airport04,1.5
Airport05,7
Airport08,6
Airport10,8
Airport03,20
Airport18,10
Airport05,17
Airport16,25
Airport11,5
Airport12,8
Airport04,2.5
Airport05,10
Airport04,17
Airport05,17
Airport10,20
Airport05,7
Airport05,7.5
Airport05,10
Airport05,10
Airport05,3
Airport05,4
Airport10,10
Airport10,9.5
Airport05,6
Airport03,15
Airport18,10
Airport12,14
Airport14,7
Airport05,7
Airport08,3
Airport16,30
Airport07,4.5
Airport11,25
Airport05,7
Airport19,3
Airport04,20
Airport03,120
Airport08,4.5
Airport19,6
Airport08,12
Airport18,35
Airport19,6
Airport05,20
Airport05,26
Airport05,15
Airport04,2
Airport08,6
Airport08,4
Airport05,10
Airport12,6
Airport04,35
Airport04,2
Airport05,5.5
Airport08,10
Airport10,5
Airport05,10
Airport05,5.5
Airport08,12
Airport03,55
Airport05,8
Airport14,4
Airport05,5
Airport05,20
Airport08,4
Airport12,5
Airport05,12
Airport08,5
Airport05,15
Airport05,10
Airport05,23
Airport05,10
Airport08,7
Airport04,2
Airport05,8
Airport08,4.5
Airport08,4.5
Airport08,7
Airport05,5
Airport05,5
Airport05,5
Airport05,5
Airport20,15
Airport08,9
Airport10,22
Airport05,4
Airport03,35
Airport08,8
Airport09,19
Airport08,19
Airport19,5
Airport08,15
Airport05,18.5
Airport07,7
Airport05,38
Airport05,9
Airport08,9.5
Airport05,32
Airport03,15
Airport05,13
Airport05,4
Airport08,4
Airport09,19
Airport17,3
Airport10,3.5
Airport05,45
Airport08,23
Airport05,210
Airport08,90
Airport08,132
Airport05,17
Airport08,2
Airport08,4
Airport08,7
Airport19,4
Airport08,205
Airport10,2.5
Airport08,4.5
Airport03,30
Airport14,10
Airport05,4
Airport08,5
Airport17,14
Airport05,15
Airport10,7
Airport05,27
Airport05,41
Airport10,5
Airport05,15
Airport05,5
Airport08,53
Airport19,121.6666667
Airport09,4
Airport16,40
Airport05,35
Airport05,9
Airport05,25
Airport08,7
Airport10,7.5
Airport08,17
Airport19,80
Airport10,2
Airport04,12
Airport12,2
Airport12,2
Airport05,10
Airport05,2.5
Airport09,30
Airport05,10
Airport05,5
Airport10,3
Airport05,10
Airport03,20
Airport12,14
Airport10,8
Airport05,15
Airport08,105
Airport10,10
Airport19,10
Airport08,10
Airport05,5
Airport04,4
Airport08,7
Airport05,65
Airport05,15
Airport05,10
Airport03,15
Airport07,10
Airport05,6
Airport08,27
Airport12,22
Airport08,15
Airport05,18.5
Airport08,13
Airport19,5
Airport10,15
